epoch,loss,val_loss
0,0.06431908905506134,0.07033486664295197
1,0.04828809201717377,0.04951582849025726
2,0.040330566465854645,0.04443006217479706
3,0.03444502130150795,0.033324021846055984
4,0.029155543074011803,0.037504155188798904
5,0.025544162839651108,0.029417438432574272
6,0.023415258154273033,0.029496852308511734
7,0.01976359449326992,0.02524283528327942
8,0.017272183671593666,0.03624850884079933
9,0.01661495491862297,0.02402772381901741
10,0.01513789501041174,0.02589878812432289
11,0.01375650241971016,0.021880924701690674
